a art#一(个)；每一(个)
aggressive #侵略的；好斗的
ago #以前
agony #极度痛苦
agree #同意；持相同意见
agreement #协定，协议；同意
agriculture #农业，农艺；农学
ahead #在前；向前；提前
aid #帮助，救护；助手
aim #瞄准，针对；致力
air #空气；空中；外观
aircraft #飞机，飞行器
airline #航空公司；航线
airplane #飞机
airport #机场，航空站
alarm #惊恐，忧虑；警报
alcohol #酒精，乙醇
alike #同样的，相同的
alive #活着的；活跃的
all #全部的 #全部
allow #允许，准许；任
alloy #合金；(金属的)成色
almost #几乎，差不多
alone #单独的 #单独地
along #沿着 #向前
aloud #出声地，大声地
alphabet #字母表，字母系统
already #早已，已经
also #亦，也；而且，还
alter #改变，变更；改做
alternative #替换物；取舍，抉择
although #尽管，虽然
altitude #高，高度；高处
altogether #完全；总而言之
aluminium #铝
always #总是，一直；永远
#m (缩)上午，午前
amaze #使惊奇，使惊愕
ambition #雄心，抱负，野心
ambulance #救护车；野战医院
America #美洲；美国
American #美洲的 #美国人
among #在…之中
amongst prep#在…之中
amount #总数；数量；和
ampere #安培
amplify #放大，增强；扩大
amuse #逗…乐；给…娱乐
analyse #分析，分解，解析
analysis #分析，分解，解析
ancestor #祖宗，祖先
anchor #锚 #抛锚，停泊
ancient #古代的，古老的
and #和，又，并，则
angel #天使，神差，安琪儿
anger #怒，愤怒 #使发怒
angle #角，角度
angry #愤怒的，生气的
animal #动物，兽 #动物的
ankle #踝，踝节部
announce #宣布，宣告，发表
announcer #宣告者；播音员
annoy #使恼怒；打搅
annual #每年的 #年报
another #再一个的；别的
answer #回答；响应；适应
ant #蚂蚁
anticipate #预料，预期，期望
anxiety #焦虑，忧虑；渴望
anxious #忧虑的；渴望的
any #什么，一些；任何的
anybody #任何人
anyhow #无论如何
anyone #任何人
anything #任何事物；一切
anyway #无论如何
anywhere #在什么地方
apart #相隔；分开；除去
apartment #一套公寓房间
apologize #道歉，谢罪，认错
apology #道歉，认错，谢罪
apparatus #器械，仪器；器官
apparent #表面上的；明显的
appeal #呼吁；申述
appear #出现；来到；似乎
appearance #出现，来到；外观
appetite #食欲，胃口；欲望
apple #苹果，苹果树
appliance #用具，器具，器械
applicable #能应用的；适当的
application #请求，申请；施用
apply #应用，实施，使用
appoint #任命，委任；约定
appointment #任命；约定，约会
appreciate #欣赏；领会；感谢
approach #向…#近 ##近
appropriate #适当的，恰当的
approval #赞成，同意；批准
approve #赞成，称许；批准
approximate #近似的 #近似
approximately #近似地，大约
April #四月
Arabian #阿拉伯的
arbitrary #随心所欲的；专断的
architecture #建筑学；建筑式样
area #面积；地区；领域
argue #争论，争辩，辩论
argument #争论，辩论；理由
arise #出现；由…引起
arithmetic #算术，四则运算
arm #臂；臂状物；武器
army #军队；陆军
around #在…周围
arouse #引起，唤起；唤醒
arrange #筹备；整理；调解
arrangement #整理，排列；安排
arrest #逮捕，拘留；阻止
arrival #到达；到来；到达者
arrive #到达；来临；达到
arrow #箭；箭状物
art #艺术，美术；技术
article #文章；条款；物品
artificial #人工的；娇揉造作的
artist #艺术家，美术家
artistic #艺术的；艺术家的
as #当…的时候
ash #灰，灰末；骨灰
ashamed #惭愧(的)；羞耻(的)
Asia #亚洲
Asian #亚洲的 #亚洲人
aside #在旁边，到旁边
ask #问；要求；邀请
asleep #睡着的，睡熟的
aspect #方面；样子，外表
assemble #集合，召集；装配
assembly #集合；集会；装配
assess #对(财产等)估价
assign #指派；分配；指定
assignment #任务，指定的作业
assist #援助，帮助；搀扶
assistant #助手，助理；助教
associate #交往 #伙伴，同事
association #协会，团体；联合
assume #假定；承担；呈现
assure #使确信；向…保证
astonish #使惊讶，使吃惊
astronaut #宇宙航行员，宇航员
at #在…里；在…时
athlete #运动员；田径运动员
Atlantic #大西洋的 #大西洋
atmosphere #大气；空气；气氛
atmospheric #大气的；大气层的
atom #原子；微粒；微量
atomic #原子的；原子能的
attach #缚，系，贴；附加
attack #&#攻击，进攻
attain #达到，获得，完成
attempt #尝试，试图 #企图
attend #出席；照顾，护理
attention #注意，留心；注意力
attentive #注意的；有礼貌的
attitude #态度，看法；姿势
attract #吸引；引起，诱惑
attraction #吸引；吸引力；引力
attractive #有吸引力的
attribute #把…归因于 #属性
audience #听众，观众，读者
August #八月
aunt #伯母，婶母，姑母
aural #耳的，听觉的
Australia #澳大利亚
Australian #澳大利亚的
author #作者，作家
authority #当局，官方；权力
auto #(口语)汽车
automatic #自动的；机械的
automation #自动，自动化
automobile #汽车，机动车
autumn #秋，秋季
auxiliary #辅助的；附属的
available #可利用的；通用的
avenue #林荫道，道路；大街
average #平均数 #平均的
aviation #航空，航空学
avoid #避免，躲开；撤消
await #等候，期待
awake #醒着的 #唤醒
award #奖，奖品；判定
aware #知道的，意识到的
away #离开，远离；…去
awful #令人不愉快的
awfully #令人畏惧的；很
awkward #笨拙的；尴尬的
ax #斧子
axis #轴，轴线；中心线
baby #婴儿；孩子气的人
back #在后；回原处；回
background #背景，后景，经历
backward #向后的；倒的 #倒
bacteria #细菌
bad #坏的，恶的；严重的
badly #坏，差；严重地
badminton #羽毛球
bag #袋，包，钱包，背包
baggage #行李
bake #烤，烘，焙；烧硬
balance #使平衡；称 #天平
ball #球，球状物；舞会
balloon #气球，玩具气球
banana #香蕉；芭蕉属植物
band #乐队；带；波段
bang #巨响，枪声；猛击
bank #银行；库；岩，堤
banner #旗，旗帜，横幅
bar #酒吧间；条，杆；栅
barber #理发师
bare #赤裸的；仅仅的
bargain #交易 #议价；成交
bark #吠叫声 #吠，叫
barn #谷仓；牲口棚
barrel #桶；圆筒；枪管
barrier #栅栏，屏障；障碍
base #基础，底层；基地
basic #基本的，基础的
basically #基本上
basin #盆，洗脸盆；盆地
basis #基础，根据
basket #篮，篓，筐
basketball #篮球；篮球运动
bat #球拍；短棍；蝙蝠
bath #浴，洗澡；浴缸
bathe #给…洗澡；弄湿
bathroom #浴室；盥洗室
battery #电池；一套，一组
battle #战役；斗争 #作战
bay #湾；山脉中的凹处
B#C# (缩)公元前
be #是，在，做
beach #海滩，湖滩，河滩
beam #梁；横梁；束，柱
bean #豆，蚕豆
bear #熊；粗鲁的人
bear #容忍；负担；生育
beard #胡须，络腮胡子
beast #兽，野兽；牲畜
beat #打，敲；打败
beautiful #美的，美丽的
beauty #美，美丽；美人
because #由于，因为
become #变成；成为，变得
bed #床，床位；圃；河床
bee #蜂，密蜂；忙碌的人
beef #牛肉；菜牛
beer #啤酒
before #在…以前；向…
beg #乞求；请求
beggar #乞丐，穷人
begin #开始 #开始
beginner #初学者，生手
beginning #开始，开端；起源
behalf #利益，维护，支持
behave #表现，举止；运转
behavior #行为，举止，态度
behind #在…后面
being #存在；生物；生命
belief #信任，相信；信念
believe #相信；认为
bell #钟，铃，门铃；钟声
belong #属于，附属
beloved #为…的爱的 #爱人
below #在…下面(以下)
belt #带，腰带；皮带；区
bench #长凳，条凳；工作台
bend #使弯曲 #弯曲
beneath #在…下方
beneficial #有利的，有益的
benefit #利益；恩惠；津贴
berry #浆果(如草莓等)
beside #在…旁边
besides #而且#除…之外
best #最好的；最大的
bet #&#打赌
betray #背叛；辜负；泄漏
better #较好的 #更好地
between #在…中间
beyond #在…的那边
Bible #基督教《圣经》
bicycle #自行车，脚踏车
big #大的，巨大的
bike #自行车 #骑自行车
bill #账单；招贴；票据
billion num#万亿(英)
bind #捆绑；包扎；装钉
biology #生物学；生态学
bird #鸟，禽
birth #分娩，出生；出身
birthday #生日，诞生的日期
biscuit #(英)饼干；(美)软饼
bit #一点，一些，小片
bite #咬，叮，螫；剌穿
bitter #痛苦的；严寒的
bitterly #苦苦地；悲痛地
black #黑色的；黑暗的
blackboard #黑板
blade #刀刃，刀片；叶片
blame #责备，把…归咎于
blank #空白的 #空白
blanket #毛毯，毯子，羊毛毯
blast #爆炸，冲击波 #炸
blaze #火；闪光 #燃烧
bleed #出血，流血；泌脂
blend #&#混和
bless #为…祝福
blind #瞎的；盲目的
block #街区 #堵塞，拦阻
blood #血，血液；血统
bloom #花；开花，开花期
blossom #花，开花 #开花
blow #吹，吹动；吹响
blue #蓝色的 #蓝色
board #板 #上(船、车等)
boast #自夸 #吹嘘
boat #小船，艇；渔船
body #身体；主体；尸体
boil #沸腾；汽化#煮沸
bold #大胆的；冒失的
bolt #螺栓；插销 #闩门
bomb #炸弹 #轰炸
bond #联结，联系；公债
bone #骨，骨骼
book #书，书籍 #预定
boot #靴子，长统靴
booth #货摊；公用电话亭
border #边，边缘；边界
bore #使厌烦；钻，挖
born #天生的；出生的
borrow #借，借用，借人
bosom #胸，胸部；内心
boss #老板，上司 #指挥
both #两者(都)
bother #烦扰，迷惑 #麻烦
bottle #瓶，酒瓶；一瓶
bottom #底，底部，根基
bough #树枝
bounce #反跳，弹起；跳起
bound #一定的；有义务的
boundary #分界线，办界
bow #弓；蝴蝶结；鞠躬
bowl #碗，钵；碗状物
box #箱，盒；包箱
box #拳击，打拳
boy #男孩，少年；家伙
brain #脑，脑髓；脑力
brake #闸，刹车 #制动
branch #树枝；分部；分科
brand #商品；烙印 #铭刻
brandy #白兰地酒
brass #黄铜；黄铜器
brave #勇敢的，华丽的
bread #面包；食物，粮食
breadth #宽度，幅度；幅面
break #打破；损坏；破坏
breakfast #早饭，早餐
breast #乳房；胸脯，胸膛
breath #气息，呼吸；气味
breathe #呼吸 #呼吸
breed #品种 #使繁殖
breeze #微风，和风
brick #砖，砖块；砖状物
bridge #桥，桥梁；桥牌
brief #简短的；短暂的
bright #明亮的；聪明的
brighten #使发光；使快活
brilliant #光辉的；卓越的
brim #边，边缘；帽沿
bring #带来；引出；促使
brisk #活泼的；清新的
bristle #短而硬的毛；鬃毛
Britain #不列颠，英国
British #不列颠的，英联邦的
brittle #脆的；易损坏的
broad #宽的，阔的；广泛的
broadcast #广播，播音
broken #被打碎的，骨折的
bronze #青铜；青铜制品
brood #同窝幼鸟 #孵(蛋)
brook #小河，溪流
broom #扫帚
brother #兄弟；同事，同胞
brow #额；眉，眉毛
brown #褐色，棕色
bruise #青肿，伤痕；擦伤
brush #刷子，毛刷；画笔
brute #禽兽，畜生
bubble #泡 #冒泡，沸腾
bucket #水桶；吊桶；铲斗
bud #芽，萌芽；蓓蕾
build #建筑；建立；创立
building #建筑物，大楼；建筑
bulb #电灯泡；球状物
bulk #物体，容积，大批
bull #公牛；雄的象
bullet #枪弹，子弹，弹丸
bunch #束，球，串；一群
bundle #捆，包，束；包袱
burden #担子，重担；装载量
bureau #局，司，处；社，所
burn #烧，燃烧 #烧伤
burst #使爆裂 #爆炸
bury #埋葬，葬；埋藏
bus #公共汽车
bush #灌木，灌木丛，矮树
business #商业，生意；事务
busy #忙的，繁忙的
but #但是，可是
butcher #屠夫；屠杀者
butter #黄油；奶油
butterfly #蝴蝶
button #扣子；按钮 #扣紧
buy #买，购买 #买
by #在…旁；被，由
cabbage #洋白菜，卷心菜
cabin #小屋；船舱，机舱
cabinet #橱，柜；内阁
cable #缆，索；电缆；电报
cafe #咖啡馆；小餐厅
cafeteria #自助食堂
cage #笼；鸟笼，囚笼
cake #饼，糕，蛋糕
calculate #计算；估计；计划
calculation #计算，计算结果
calculator #计算器，计算者
calendar #日历，历书；历法
call #把…叫做；叫，喊
calm #静的，平静的
camel #骆驼
camera #照相机，摄影机
camp #野营，营地，兵营
campaign #战役；运动
campus #校园，学校场地
can #能，会，可能
can #罐头，听头；容器
Canada #加拿大
Canadian #加拿大的
canal #运河；沟渠；管
cancel #取消，撤消；删去
cancer #癌，癌症，肿瘤
candidate #候选人；投考者
candle #蜡烛；烛形物；烛光
candy #糖果；砂糖结晶
cannon #大炮，火炮；榴弹炮
canoe #独木舟，皮艇，划子
canteen #小卖部；临时餐室
canvas #粗帆布；一块油画布
cap #帽子，便帽；帽状物
capable #有能力的，有才能的
capacity #容量；能力；能量
capital #资本，资金；首都
captain #陆军上尉；队长
captive #俘虏，被监禁的人
capture #捕获，俘获；夺得
car #汽车，小汽车，轿车
carbon #碳
card #卡，卡片，名片
care #关心，介意 #小心
career #生涯，职业，经历
careful #仔细的；细致的
careless #粗心的，漫不经心的
cargo #船货，货物
carpenter #木工，木匠
carpet #地毯，毡毯，毛毯
carriage #客车厢；四轮马车
carrier #运输工具；运载工具
carrot #胡罗卜
carry #携带；运载；传送
cart #二轮运货马车
carve #刻，雕刻；切开
case #情况；事实；病例
case #箱(子)，盒(子)，套
cash #现金，现款
cassette #盒式录音带；盒子
cast #投，扔，抛；浇铸
castle #城堡；巨大建筑物
casual #偶然的；随便的
cat #猫，猫科，猫皮
catalog #目录，目录册
catch #捉住；赶上；领会
cathedral #总教堂；大教堂
cattle #牛；牲口，家畜
cause #原因，理由；事业
cave #山洞，洞穴，窑洞
cease #&#停止，停息
ceiling #天花板，顶蓬
celebrate #庆祝；歌颂，赞美
cell #细胞；小房间
cellar #地窑，地下室
cement #水泥；胶泥 #粘结
cent #分；分币；百
centigrade #百分度的
centimetre #公分，厘米
central #中心的；主要的
centre #中心；中枢 #集中
century #世纪，百年
ceremony #典礼，仪式；礼节
certain #确实的；肯定的
certainly #一定，必定；当然
certainty #必然；肯定
certificate #证书，证件，执照
chain #链，链条，项圈
chair #椅子；主席
chairman #主席；议长，会长
chalk #白垩；粉笔
challenge #挑战；要求，需要
chamber #会议室；房间；腔
champion #冠军，得胜者
chance #机会，机遇；可能性
change #改变，变化；零钱
channel #海峡；渠道；频道
chapter #章，回，篇
character #性格；特性；角色
characteristic #特有的 #特性
charge #索价；控告 #费用
charity #施舍；慈善事业
charming #迷人的，可爱的
chart #图，图表；海图
chase #追逐，追赶，追求
cheap #廉价的；劣质的
cheat #骗取；哄 #行骗
check #检查；制止 #检查
cheek #面颊，脸蛋
cheer #使振作；欢呼
cheerful #快乐的，愉快的
cheese #乳酪，干酪
chemical #化学的 #化学制品
chemist #化学家；药剂师
chemistry #化学
cheque #支票
cherry #樱桃；樱桃树
chess #棋；国际象棋
chest #胸腔，胸膛；箱子
chew #咀嚼，嚼碎
chicken #小鸡，小鸟；鸡肉
chief #主要的；首席的
child #小孩，儿童；儿子
childhood #童年，幼年；早期
childish #孩子的；幼稚的
chill #使变冷 #寒冷
chimney #烟囱，烟筒；玻璃罩
chin #颏，下巴
China #中国
china #瓷器，瓷料
Chinese #中国的 #中国人
chocolate #巧克力；巧克力糖
choice #选择，抉择
choke #使窒息；塞满
choose #选择，挑选；情愿
chop #砍，劈；切细#砍
Christian #基督教徒；信徒
Christmas #圣诞节
church #教堂，礼拜堂；教会
cigarette #香烟，纸烟，卷烟
cinema #电影院；电影，影片
circle #圆，圆周；圈子
circuit #电路；环行；巡行
circular #圆的；循环的
circulate #使循环 #循环
circumference #圆周，周长，圆周线
circumstance #情况，条件；境遇
citizen #公民；市民，居民
city #城市，都市
civil #公民的；文职的
civilization #文明，文化；开化
civilize #使文明；教育
claim #声称，主张；索取
clap #拍手 #拍，轻拍
clarify #澄清，阐明
clasp #扣子，钩子；别针
class #班，班级；阶级
classical #古典的；经典的
classification #分类；分级；分类法
classify #把…分类
classmate #同班同学
classroom #教室，课堂
claw #爪，脚爪，螯
clay #粘土，泥土；肉体
clean #清洁的；纯洁的
clear #清晰的 #清除
clearly #明白地，清晰地
clerk #店员；办事员，职员
clever #聪明的；机敏的
cliff #悬崖，峭壁
climate #气候；风土，地带
climb #攀登，爬 #爬
cloak #斗篷；覆盖(物)
clock #钟，仪表
close #关，闭；结束
closely #紧密地，接近地
cloth #布；衣料；桌布
clothe #给…穿衣服
clothes #衣服，服装；被褥
clothing #衣服，被褥
cloud #云；云状物；阴影
cloudy #多云的；云一般的
club #俱乐部，夜总会
clue #线索，暗示，提示
clumsy #笨拙的；愚笨的
coach #长途公共汽车
coal #煤，煤块
coarse #粗的，粗糙的
coast #海岸，海滨(地区)
coat #外套，上衣；表皮
cock #公鸡；雄禽；旋塞
code #准则；法典；代码
coffee #咖啡，咖啡茶
coil #(一)卷；线圈 #卷
coin #硬币；铸造(硬币)
cold #冷的；冷淡的 #冷
collapse #倒坍；崩溃，瓦解
collar #衣领，项圈
colleague #同事，同僚
collect #收集 #收款
collection #搜集，收集；收藏品
collective #集体的；集合性的
college #学院；大学
collision #碰撞；冲突
colonel #陆军上校；中校
colony #殖民地；侨居地
color #颜色，彩色；颜料
column #柱，支柱，圆柱
comb #梳子 #梳理
combination #结合，联合；化合
combine #使结合；兼有
come #来，来到；出现
comfort #舒适；安慰 #安慰
comfortable #舒适的，安慰的
command #命令，指挥；控制
commander #司令官，指挥员
comment #评论，意见；注释
commerce #商业，贸易；社交
commercial #商业的；商品化的
commission #委任状；委员会
commit #犯(错误);干(坏事)
committee #委员会；全体委员
common #普通的；共同的
commonly #普通地，一般地
communicate #通讯；传达；传播
communication #通讯；传达；交通
communism #共产主义
communist #共产党员
community #社区；社会；公社
companion #同伴；共事者；伴侣
company #公司，商号；同伴
comparative #比较的，相对的
compare #比较，对照；比作
comparison #比较，对照；比似
compass #罗盘，指南针；圆规
compel #强迫，迫使屈服
compete #比赛；竞争；对抗
competent #有能力的；应该做的
competition #竞争，比赛
compile #编辑，编制，搜集
complain #抱怨，拆苦；控告
complaint #抱怨；怨言；控告
complete #完整的；完成的
completely #十分，完全地
complex #结合的；复杂的
complicate #使复杂；使陷入
complicated #复杂的，难懂的
component #组成部分；分；组件
compose #组成，构成；创作
composition #构成；作品；写作
compound #化合物；复合词
comprehension #理解，理解力；领悟
comprehensive #广泛的；理解的
compress #压紧，压缩
comprise #包含，包括；构成
compromise #妥协，和解
compute #计算，估计，估算
computer #计算机，电脑
comrade #同志，亲密的同伴
conceal #把…隐藏起来
concentrate #集中；聚集；浓缩
concentration #集中；专注；浓缩
concept #概念，观念，设想
concern #关心，挂念；关系
concerning #关于
concert #音乐会，演奏会
conclude #推断出；结束
conclusion #结论，推论；结尾
concrete #混凝土；具体物
condemn #谴责，指责；判刑
condense #压缩，使缩短
condition #状况，状态；环境
conduct #举止，行为；指导
conductor #售票员；(乐队)指挥
conference #会议，讨论会
confess #供认，承认；坦白
confidence #信任；信赖；信心
confident #确信的，自信的
confine #限制；禁闭
confirm #证实，肯定；批准
conflict #争论；冲突；斗争
confuse #使混乱，混淆
confusion #混乱；骚乱；混淆
congratulate #祝贺，向…道喜
congratulation #祝贺；祝贺词
congress #大会；国会，议会
conjunction #接合，连接；连接词
connect #连接，连结；联系
connection #连接，联系；连贯性
conquer #征服，战胜；破除
conquest #攻取，征服；克服
conscience #良心，道德心
conscious #意识到的；有意的
consciousness #意识，觉悟；知觉
consent #同意，赞成 #同意
consequence #结果，后果
consequently #因此，因而，所以
conservation #保存，保护；守恒
conservative #保守的 #保守的人
consider #认为；考虑；关心
considerable #相当大的；重要的
considerate #考虑周到的；体谅的
consideration #考虑，思考；体贴
consist #由…组成；在于
consistent #坚持的，一贯的
constant #经常的；永恒的
constitution #章程；体质；构造
construct #建造；建设；构筑
construction #建造；建筑；建筑物
consult #请教，查阅
consume #消耗，消费；消灭
consumption #消耗量；消耗
contact #使接触；与…联系
contain #包含，容纳；等于
container #容器；集装箱
contemporary #当代的，同时代的
contempt #轻蔑；藐视；受辱
content #内容，目录；容量
content #满意的，满足的
contest #争夺，争取；辩驳
continent #大陆；陆地；洲
continual #不断的；连续的
continue #继续，连续；延伸
continuous #连续不断的，持续的
contract #契约，合同；婚约
contradiction #矛盾，不一致；否认
contrary #相反的 #相反
contrast #对比，对照，悬殊
contribute #捐献，捐助；投稿
control #控制，克制 #控制
convenience #便利，方便；厕所
convenient #便利的；近便的
convention #习俗，惯例；公约
conventional #普通的；习惯的
conversation #会话，非正式会谈
conversely #相反地
conversion #转变，转化；改变
convert #使转变；使改变
convey #传送；运送；传播
convince #使确信，使信服
cook #烹调，煮 #烧菜
cool #凉的，冷静的
cooperate #合作，协作；配合
coordinate #使协调，调节
cope #对付，应付
copper #铜；铜币，铜制器
copy #抄件 #抄写，复制
cord #细绳，粗线，索
cordial #真诚的，诚恳的
core #果实的心，核心
corn #谷物；(英)小麦
corner #角；犄角；边远地区
corporation #公司，企业；社团
correct #正确的 #纠正
correction #改正，纠正，修改
correspond #相符合；相当
correspondent #通信者；通讯员
corresponding #相应的；符合的
corridor #走廊，回廊，通路
cost #价格，代价；成本
costly #昂贵的；价值高的
cottage #村舍，小屋
cotton #棉；棉线；棉布
cough #咳，咳嗽 #咳嗽
could #(can的过去式)
council #理事会，委员会
count #计算 #数，计数
counter #柜台；计数器
country #国家，国土；农村
countryside #乡下，农村
county #英国的郡，美国的县
couple #夫妇；(一)对；几个
courage #勇气，胆量，胆识
course #课程；过程；一道菜
court #法院，法庭；庭院
cousin #堂(或表)兄弟(姐妹)
cover #盖，包括 #盖子
cow #母牛，奶牛；母兽
coward #懦夫；胆怯者
crack #裂缝，裂纹 #爆裂
craft #工艺；手艺，行业
crane #起重机，摄影升降机
crash #碰撞，坠落 #碰撞
crawl #爬，爬行
crazy #疯狂的，荒唐的
cream #奶油，乳脂；奶油色
create #创造；引起，产生
creative #创造性的，创作的
creature #生物，动物，家畜
credit #信用贷款；信用
creep #爬行；缓慢地行进
crew #全体船员
cricket #板球；蟋蟀
crime #罪，罪行；犯罪
criminal #犯人，罪犯，刑事犯
cripple #跛子；残废的人
crisis #危机；存亡之际
critic #批评家，爱挑剔的人
critical #决定性的；批评的
criticism #批评；批判；评论
criticize #批评；评论；非难
crop #农作物，庄稼；一熟
cross #穿过；使交#
crow #鸦，乌鸦 #啼
crowd #群；大众；一伙人
crown #王冠，冕；花冠
crude #简陋的；天然的
cruel #残忍的，残酷的
crush #压碎，碾碎；镇压
crust #面包皮；硬外皮
cry #哭，哭泣；叫喊
crystal #水晶，结晶体；晶粒
cube #立方形；立方
cubic #立方形的；立方的
cucumber #黄瓜
cultivate #耕；种植；培养
culture #文化，文明；教养
cunning #狡猾的，狡诈的
cup #杯子；(一)杯；奖杯
cupboard #碗柜，碗碟橱；食橱
cure #医治；消除 #治愈
curiosity #好奇，好奇心；珍品
curious #好奇的；稀奇古怪的
curl #卷毛；螺旋 #卷曲
current #当前的；通用的
curse #诅咒，咒骂；天谴
curtain #帘，窗帘；幕(布)
curve #曲线；弯 #弄弯
cushion #垫子，坐垫，#垫
custom #习惯，风俗；海关
customer #顾客，主顾
cut #切，割，剪；减少
cycle n#自行车，循环
daily #每日的 #日报
dairy #牛奶场；乳制品
dam #水坝，水堤；障碍物
damage #损害，毁坏 #损害
damp #潮湿的，有湿气的
dance #跳舞；摇晃 #舞
danger #危险；危险事物
dangerous #危险的，不安全的
dare #敢；竟敢
daring #大胆的，勇敢的
dark #暗的；黑色的
darling #亲爱的人；宠儿
dash #使猛撞；溅 #猛冲
data #数据; 资料
date #日期 #注…日期
daughter #女儿
dawn #黎明；开端 #破晓
day #(一)天，白昼，白天
daylight #白昼，日光；黎明
dead #死的，无生命的
deadly #致命的，死一般的
deaf #聋的；不愿听的
deal #买卖；待遇 #给予
dear #亲爱的 int#啊
death #死，死亡；灭亡
debate #争论，辩论
debt #债，债务，欠债
decade #十年，十年期
decay #腐烂；衰败 #腐烂
deceit #欺骗，欺诈
deceive #欺骗，蒙蔽，行骗
December #十二月
decent #正派的；体面的
decide #决定，决心；解决
decision #决定，决心；果断
deck #甲板；舱面；层面
declare #断言；声明；表明
decorate #装饰，装璜，修饰
decrease #减少，减少
deduce #演绎，推论，推断
deed #行为；功绩；契约
deep #深的；纵深的
deepen #加深 #深化
deer #鹿
defeat #战胜，击败；挫败
defect #缺点，缺陷，欠缺
defence #防御；防务；辩护
defend #保卫，防守
define #给…下定义；限定
definite #明确的；肯定的
definitely #一定地，明确地
definition #定义，释义；定界
degree #程度；度；学位
delay #推迟；耽搁；延误
delete #删除；擦掉
delegation #代表团
delicate #纤细的；易碎的
delicious #美味的，怡人的
delight #快乐 #使高兴
deliver #投递，送交；发表
delivery #投递；交付；分娩
demand #要求；需要；询问
democracy #民主，民主制
democratic #民主的，民主政体的
demonstrate #说明；论证；表露
dense #密集的；浓厚的
density #密集，稠密；密度
deny #否定；拒绝相信
depart #离开，起程；出发
department #部，司，局，处，系
departure #离开，出发，起程
depend #依#，依赖；相信
dependent #依#的，依赖的
deposit #使沉淀；存放
depress #使沮丧；按下
depth #深度；深厚；深处
derive #取得 #起源
descend #下来，下降；下倾
describe #形容；描写，描绘
description #描写，形容；种类
desert #沙漠 #离弃；擅离
deserve #应受，值得
design #设计 #设计；图样
desirable #值得相望的；可取的
desire #相望；要求 #愿望
desk #书桌，办公桌
despair #绝望 #绝望
desperate #拼死的；绝望的
despise #鄙视，蔑视
despite #不管，不顾
destination #目的地，终点；目标
destroy #破坏；消灭；打破
destruction #破坏，毁灭，消灭
detail #细节；枝节；零件
detect #察觉，发觉；侦察
detection #察觉，发觉；侦察
determination #决心；决定；确定
determine #决定；查明；决心
develop #发展；形成；开发
development #发展；开发；生长
device #器械，装置；设计
devil #魔鬼，恶魔
devise #设计，发明
devote #将…奉献，致力于
dew #露，露水
diagram #图解，图表，简图
dial #钟面；拨号盘 #拨
dialect #方言，土语，地方话
dialog #对话，对白
diameter #直径
diamond #金钢石，钻石；菱形
diary #日记，日记簿
dictate #口授；命令
dictation #口授笔录，听写
dictionary #词典，字典
die #死，死亡；灭亡
differ #不同，相异
difference #差别；差；分歧
